Endulzante,PH,Tiempo
Con azúcar,Agua,47.24
Con azúcar,Agua,41.76
Con azúcar,Agua,51.1
Con azúcar,Agua,48.99
Con azúcar,Agua,52.23
Con azúcar,Agua,49.4
Con azúcar,Agua,45.73
Con azúcar,Agua,49.7
Con azúcar,Agua,53.44
Con azúcar,Agua,49.17
Con azúcar,Agua,47.74
Con azúcar,Agua,46.14
Con azúcar,Limonada,46.65
Con azúcar,Limonada,37.65
Con azúcar,Limonada,52.37
Con azúcar,Limonada,45.23
Con azúcar,Limonada,49.4
Con azúcar,Limonada,47.5
Con azúcar,Limonada,47.29
Con azúcar,Limonada,37.20
Con azúcar,Limonada,49.49
Con azúcar,Limonada,48.59
Con azúcar,Limonada,44.57
Con azúcar,Limonada,44.17
Sin azúcar,Agua,45.41
Sin azúcar,Agua,43.17
Sin azúcar,Agua,46.36
Sin azúcar,Agua,36.33
Sin azúcar,Agua,40.45
Sin azúcar,Agua,37.5
Sin azúcar,Agua,44.16
Sin azúcar,Agua,40.24
Sin azúcar,Agua,48.27
Sin azúcar,Agua,37.65
Sin azúcar,Agua,37.22
Sin azúcar,Agua,42.22
Sin azúcar,Limonada,36.23
Sin azúcar,Limonada,38.65
Sin azúcar,Limonada,35.40
Sin azúcar,Limonada,39.93
Sin azúcar,Limonada,35.17
Sin azúcar,Limonada,37.14
Sin azúcar,Limonada,35.51
Sin azúcar,Limonada,37.20
Sin azúcar,Limonada,38.27
Sin azúcar,Limonada,41.20
Sin azúcar,Limonada,38.80
Sin azúcar,Limonada,39.17
